tid,LEGAL_SCJUDGE,LEGAL_DESIGN,LEGAL_GEN,LEGAL_PATENT,LEGAL_TRADEMARK,LEGAL_COPYRIGHT,LEGAL_RESERVATION_CATEGORY,LEGAL_CRIMINAL_PROCEDURE,LEGAL_ENTITY,COPYRIGHT_ACT,PATENTS_ACT,DESIGNS_ACT,INFORMATION_TECHNOLOGY_ACT,TRADEMARK_ACT
170697,160,7,33,3,0,3,4,66,8,0,0,0,0,0
1714313,0,7,31,3,0,3,4,191,8,0,0,0,0,0
1716282,0,8,31,0,0,0,0,191,1,0,0,0,0,0
1718159,0,6,31,0,0,0,0,229,15,0,0,0,0,0
1719469,0,7,30,0,0,20,4,191,17,0,0,0,0,0
1722050,0,7,31,0,13,0,4,191,10,0,0,0,0,0
1723469,0,0,31,0,0,0,4,191,15,0,0,0,0,0
172383107,0,4,31,0,0,0,4,66,1,0,0,0,0,0
1725672,0,7,30,0,0,20,0,191,17,0,0,0,0,0
1727525,0,0,3,0,0,0,0,66,3,0,0,0,0,0
1732220,0,7,30,0,0,12,0,191,1,0,0,0,0,0
1732339,0,4,31,0,62,0,0,191,10,0,0,0,0,0
1732840,0,8,31,0,0,0,0,66,17,0,0,0,0,0
1734007,0,7,4,0,0,5,0,209,10,1,0,0,0,0
1735815,0,7,30,0,0,3,4,191,16,0,0,0,0,0
1737054,0,7,31,0,0,0,4,66,21,0,0,0,0,0
1738256,0,6,31,0,0,0,0,14,17,0,0,0,0,0
1738333,0,8,22,0,0,0,0,66,6,0,0,0,0,0
1741822,0,4,1,0,0,0,4,191,17,0,0,0,0,0
1741949,0,6,2,0,0,0,0,66,17,0,0,0,0,0
1742704,0,7,20,0,0,3,0,191,8,0,0,0,0,0
1747577,0,7,13,2,0,3,0,191,16,0,0,0,0,0
1747781,0,4,31,0,3,5,4,191,17,1,0,0,0,0
174974,0,7,13,14,0,3,0,191,21,0,0,0,0,0
1750914,0,7,31,0,0,0,0,191,1,0,0,0,0,0
175175391,19,7,31,0,62,22,4,191,21,0,0,0,0,0
175238601,178,6,31,0,62,5,4,66,8,1,0,0,0,0
1752565,0,6,33,0,0,0,0,191,21,0,0,0,0,0
1754074,0,4,4,0,0,5,4,191,8,1,0,0,0,0
175829,0,8,24,0,0,0,8,66,17,0,0,0,0,0
176039345,0,7,31,0,0,0,0,191,6,0,0,0,0,0
176122260,0,6,13,0,0,0,4,66,1,0,0,0,0,0
1763149,0,0,31,0,0,0,4,66,10,0,0,0,0,0
1763592,0,6,3,0,0,0,0,101,3,0,0,0,0,0
176508424,0,7,31,0,0,5,0,209,10,1,0,0,0,0
1765871,0,7,20,0,0,0,4,191,21,0,0,0,0,0
